-1.23362 0.0975374 -1.63517
-1.23013 0.0828007 -1.62249
-1.22665 0.0680642 -1.6098
-1.22316 0.0533275 -1.59712
-1.21967 0.0385909 -1.58443
-1.21615 0.0238543 -1.57175
-1.21261 0.00911763 -1.55908
-1.20905 -0.00561899 -1.54642
-1.20475 -0.0203293 -1.53396
-1.20039 -0.0350396 -1.52151
-1.196 -0.049697 -1.50902
-1.19123 -0.0639779 -1.49622
-1.18636 -0.0781767 -1.48338
-1.18135 -0.0921818 -1.47038
-1.17614 -0.105877 -1.45713
-1.17092 -0.119544 -1.44386
-1.16569 -0.133153 -1.43053
-1.16041 -0.146648 -1.4171
-1.15512 -0.160113 -1.40365
-1.14983 -0.17355 -1.39017
-1.14453 -0.186724 -1.37644
-1.1392 -0.199809 -1.36263
-1.13387 -0.212806 -1.34874
-1.1285 -0.22498 -1.33414
-1.12307 -0.236935 -1.31938
-1.11767 -0.248669 -1.30443
-1.11211 -0.259693 -1.28901
-1.1065 -0.270684 -1.27358
-1.1009 -0.281675 -1.25815
-1.09529 -0.292665 -1.24272
-1.08969 -0.303656 -1.2273
-1.08409 -0.314647 -1.21187
-1.07848 -0.325638 -1.19644
-1.07288 -0.336629 -1.18101
-1.06727 -0.34762 -1.16558
-1.06147 -0.358012 -1.14981
-1.05555 -0.368101 -1.1339
-1.04938 -0.37778 -1.11782
-1.04172 -0.383693 -1.10059
-1.03394 -0.388886 -1.08319
-1.0261 -0.393505 -1.06566
-1.01802 -0.39634 -1.04786
-1.00992 -0.399057 -1.03004
-1.00183 -0.401697 -1.01222
-0.993708 -0.403944 -0.994351
-0.985589 -0.406152 -0.976478
-0.977468 -0.40832 -0.958601
-0.969333 -0.410175 -0.940694
-0.961195 -0.41195 -0.922781
-0.953056 -0.413686 -0.904865
-0.944908 -0.415147 -0.886928
-0.93676 -0.416607 -0.868991
-0.928609 -0.417989 -0.851049
-0.920455 -0.419253 -0.8331
-0.912301 -0.420477 -0.815149
-0.904146 -0.421701 -0.797197
-0.895981 -0.422451 -0.779224
-0.887814 -0.423044 -0.761247
-0.879645 -0.423478 -0.743265
-0.871404 -0.423123 -0.725315
-0.863163 -0.422728 -0.707365
-0.854887 -0.422254 -0.689434
-0.846576 -0.421661 -0.671522
-0.838267 -0.42099 -0.653612
-0.829922 -0.420278 -0.635721
-0.821236 -0.418936 -0.618029
-0.812553 -0.417476 -0.600345
-0.803803 -0.415936 -0.582701
-0.794892 -0.414004 -0.565176
-0.785951 -0.411953 -0.54768
-0.776978 -0.409863 -0.530205
-0.767916 -0.407459 -0.512817
-0.758859 -0.404976 -0.495437
-0.749769 -0.402454 -0.47808
-0.740692 -0.399737 -0.460746
-0.731614 -0.397019 -0.443412
-0.72254 -0.394263 -0.426082
-0.71347 -0.391428 -0.408763
-0.7044 -0.388593 -0.391444
-0.695333 -0.385719 -0.37413
-0.686266 -0.382845 -0.356815
-0.677199 -0.379971 -0.339501
-0.668132 -0.377097 -0.322187
-0.659065 -0.374223 -0.304873
-0.649998 -0.371349 -0.287559
-0.640931 -0.368475 -0.270244
-0.631864 -0.365601 -0.25293
-0.622797 -0.362727 -0.235616
-0.61373 -0.359853 -0.218302
-0.604663 -0.356979 -0.200987
-0.595596 -0.354105 -0.183673
-0.586529 -0.351231 -0.166359
-0.577462 -0.348357 -0.149045
-0.568395 -0.345483 -0.131731
-0.559328 -0.342609 -0.114416
-0.550261 -0.339735 -0.0971022
-0.541194 -0.336861 -0.0797879
